title,epi,page,tb,words
EJ01,001,00001,0,"['ONCE', 'UPON', 'P', 'TIME']"
EJ01,002,00003,8,['WH']
EJ01,004,00006,20,[]
EJ01,005,00007,14,[]
EJ01,008,00007,6,[]
EJ02,005,00002,25,"['wLIKE', 'HE', 'WAS', 'SUPPOSED', 'To']"
EJ02,003,00004,15,"['I', 'refuse', 'to', 'stand', 'by', 'and', 'watch', 'a', 'stronger', 'player', 'ridicule', 'a', 'weaker', 'one']"
EJ01,007,00001,4,"['HIS', 'MAJESTY', 'SAIC']"
EJ02,008,00008,3,"['WHAT', 'DID', '|', '007']"
EJ02,006,00006,23,"['approximately', '$28O%000)']"
EJ02,001,00008,5,"['Everyone\xe2\x80\x99s', 'attention', 'was', 'drawn', 'to', 'the', 'board', 'it', 'was', 'only', 'by', 'mere', 'chance', 'that', 'I', 'saw', 'it']"
EJ03,002,00011,11,['ETTVUKYSre']
EJ05,004,00012,15,[]
EJ03,001,00006,24,"['\xe2\x80\x9cWHY', '00', 'THEY', 'HAVE', '70', 'SHOUT', 'SO', 'LOUDLY', 'IT', 'TOTALLY', 'SCARED', 'ME']"
EJ03,004,00004,9,[]
EJ06,004,00008,18,"['TI', 'WAS', 'PLANNING', 'TO', 'COOK', 'WITH', 'IT', 'TODAY']"
EJ03,005,00011,4,"['MOTOR-', 'CYCLE']"
EJ01,001,00001,1,"['eA', 'CERTAIN', 'PLANET', 'IN', 'A', 'CERTAIN', 'GALAXY', 'LIVED', 'IN', 'PEACE', 'UNDER', 'THE', 'RULE', 'OF', 'ITS', 'ROYAL', 'FAMILY']"
EJ03,008,00006,15,[]
EJ04,009,00004,6,"['WHERE', 'DID', 'HE', 'GO']"
EJ05,001,00009,7,"['+', 'SHE', 'IS', 'THE', 'YOUNG', 'HOPE', 'OF', 'THE', '|', 'JUDICIAL', 'WORLD']"
EJ05,003,00002,4,"['Sure', '5)']"
EJ01,002,00003,9,"['WHY', '18', 'EVERY-', 'THING', 'SPARALY']"
EJ09,010,00007,24,"['A', 'JOKE', 'DESIGNED', 'TO', 'UPSET', 'SOMEONE']"
EJ05,007,00003,25,"['SOMETIMES', 'tT', 'FEEL', ""SOMEONE'S"", 'PIERCING', 'GAZE', 'BUT']"
EJ05,008,00005,14,"['YEAH', 'FIVE', 'MINUTES', 'SHOULD', 'BE', 'PLENTY', 'OF', 'TIME']"
EJ05,009,00008,1,[]
EJ06,002,00002,4,[]
EJ03,001,00006,25,"['GEEZ', 'MY', ""HEART'S"", 'STILL', 'POUNDING']"
EJ01,004,00006,21,"[""YOU'RE"", 'FIFTEEN', 'YEARS', 'OLD', 'ALREADY']"
EJ06,003,00004,9,"['Earth', 'spr']"
EJ05,006,00001,5,[]
EJ06,008,00005,0,['CYANK']
EJ06,005,00010,19,"['DRAINING', 'que', 'BL009']"
EJ01,008,00007,7,"['PONT', 'LO', 'S77']"
EJ06,006,00011,23,"['BUT', 'FIRE', 'TRAPS', 'ARE', 'YOUR', 'FIELD']"
EJ07,005,00002,8,"['TENSION', 'NO', 'ANGER']"
EJ02,005,00002,26,"['ANDO', 'NOW', 'HE\xe2\x80\x99S', 'SLACKING', 'OFF', 'IN', '', 'PE']"
EJ07,008,00008,2,"['HEY', 'UH', 'FROGZ']"
EJ08,001,00009,11,[]
EJ01,005,00007,15,"['WE', 'CAME', 'TO', 'HELP', 'THEM', 'NOT', 'DISTRESS', 'THEM']"
EJ07,001,00008,1,"['WHAT', 'KIND', 'OF', 'RIVICULOUS', 'BACKSTORY', 'IS', 'JAHA7', '2']"
EJ04,009,00004,7,"['HE', 'WAS', 'JUST', 'HERE']"
EJ08,003,00003,5,"['sO', 'IF', 'I', 'GET', 'PLUS-', 'MINUS', 'ZERO', 'THIS', 'WAY', 'THEN', 'I', '""WIN,\xe2\x80\x9d', 'RIGHT']"
EJ08,005,00001,1,"['I', 'WANT', 'YOU', 'TO', 'DROP', 'OUT', 'OF', 'THE', 'CLUB']"
EJ02,003,00004,16,['SAI']
EJ08,009,00003,7,"['CANT', 'STAY', 'HERE']"
EJ09,002,00001,0,[]
EJ09,003,00007,1,[]
EJ09,005,00005,21,['RICE']
EJ09,008,00005,4,"['(2)', 'Is', 'IT', 'AN', 'ELEC-', 'TRICAL', 'APPLI-', 'ANCE']"
EJ09,010,00007,3,[]
EJ09,006,00008,6,"['HOW', 'DO', 'I', 'FEEL', 'ABOUT', 'SHINOMIYA']"
